ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ซอสหอยนางรมสูตรดังเดิม800กรัม,55,49,เครื่องปรุงต่างๆ,20,8850206117055
ซอสหอยนางรมสูตดังเดิม350กรัม,38,20,เครื่องปรุงต่างๆ,19,8850206117123
ซอสหอยนางรมสูตรเข้มข้น800กรัม,37,31,เครื่องปรุงต่างๆ,14,8850206117512
เต้าเจี้ยวตราเด็กสมบูรณ์800กรัม,42,37,เครื่องปรุงต่างๆ,198,8850206160020
เต้าเจี้ยวสูตร1245กรัม,30,25,เครื่องปรุงต่างๆ,20,8850206160105
เต้าเจี้ยวสูตร1 350กรัม,29,24,เครื่องปรุงต่างๆ,98,8850206160129
เต้าเจียวฟ้า165มล,12,10,เครื่องปรุงต่างๆ,99,8850206162659
เด็ก ปรุงรสฝาเขียว,29,24,เครื่องปรุงต่างๆ,0,8850206212040
ซอสเห็ดหอม800มล,58,55,เครื่องปรุงต่างๆ,48,8850206220021
ซอสเห็ดหอม350มล,39,34,เครื่องปรุงต่างๆ,100,8850206220120
ไอ-เชฟ ผัดผงกะหรี่ 50 กรัม,20,14,เครื่องปรุงต่างๆ,12,8850206231041
ไอ-เชฟ ลาบน้ำตก 50 กรัม,20,14,เครื่องปรุงต่างๆ,12,8850206231089
รสดีไก่18กรัม,4,2,เครื่องปรุงต่างๆ,100,8850250001362
รสดีหมู18กรัม,4,2,เครื่องปรุงต่างๆ,280,8850250001393
รสดีไก่75กรัม,12,10,เครื่องปรุงต่างๆ,30,8850250001713
รสดีหมู75กรัม,12,10,เครื่องปรุงต่างๆ,25,8850250001720
รสดีเนื้อ75กรัม,12,10,เครื่องปรุงต่างๆ,30,8850250001737
รสดี165กรัม,25,20,เครื่องปรุงต่างๆ,24,8850250001782
รสดี425กรัม,60,55,เครื่องปรุงต่างๆ,29,8850250002222
รสดี แป้งชุบ รสต้นตำรับ 90 กรัม,15,12,เครื่องปรุงต่างๆ,23,8850250002628
รสดี เเป้งชุบทอดรสเผ็ด 90 กรัม,15,12,เครื่องปรุงต่างๆ,29,8850250002635
รสดี850กรัม,100,90,เครื่องปรุงต่างๆ,30,8850250003793
รสดี พะโล้ 60 กรัม,17,14.2,เครื่องปรุงต่างๆ,12,8850250007685
รสดีแกงจืด,15,10,เครื่องปรุงต่างๆ,30,8850250007715
รสดีแกงส้ม,19,15,เครื่องปรุงต่างๆ,30,8850250007968
รสดี แกงเขียวหวาน 55ก,21,15,เครื่องปรุงต่างๆ,12,8850250007975
รสดีเมนู น้ำยำ 40กรัม,17,10,เครื่องปรุงต่างๆ,12,8850250008200
อายิโนะโมะโต๊ะ,12,10,เครื่องปรุงต่างๆ,20,8850250008347
รสดีเมนู ลาบ-น้ำตก 30ก.,17,12,เครื่องปรุงต่างๆ,12,8850250008781
รสดีซุปก้อน2ก้อน,6,4,เครื่องปรุงต่างๆ,17,8850250009610
รสดี75ก,13,10,เครื่องปรุงต่างๆ,15,8850250010937
รสดีหมู155ก,27,25,เครื่องปรุงต่างๆ,3,8850250010944
รสดี425ก,63,55,เครื่องปรุงต่างๆ,77,8850250010951
รสดีไก่75ก,13,10,เครื่องปรุงต่างๆ,95,8850250010975
รสดี เนื้อ 70กรัม,13,9,เครื่องปรุงต่างๆ,10,8850250011019
รสดี20กรัม,5,4.12,เครื่องปรุงต่างๆ,83,8850250011552
รสดีหมูก้อน40ก,8,6.5,เครื่องปรุงต่างๆ,49,8850250011996
รสดีไก่40ก,8,6.5,เครื่องปรุงต่างๆ,49,8850250012177
ถ้วยเเดง ผงชูรสเเท้ 250กรัม,31,27,เครื่องปรุงต่างๆ,91,8850250013341
ถ้วยเเดง ผงชูรส 500ก.,57,52,เครื่องปรุงต่างๆ,107,8850250013372
อายิโนะโมะโตะ1กก,108,102,เครื่องปรุงต่างๆ,18,8850250013402
อายิโนโมโต็ะ420ก,66,58.75,เครื่องปรุงต่างๆ,10,8850250013501
อายิโนะโมะโต๊ะ ตราถ้วยแดง 500กรัม,59,47,เครื่องปรุงต่างๆ,-11,8850250015017
