ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
อายิโนะโมะโต๊ะ พลัส 75 ก.,15,13,ผงชูรส,12,8850250015109
อายิโนะโมะโต๊ะ พลัส 210กรัม,35,28,ผงชูรส,10,8850250015130
พลัส420ก,69,65,ผงชูรส,3,8850250015161
อายิโนะโมะโต๊ะ พลัส 840 กรัม,128,119,ผงชูรส,6,8850250015192
Citra ทานาคา Vit C 130มล.,49,43,ผงชูรส,3,8851932471497
Citra เรด แอลจี Vit A 130มล.,49,43,ผงชูรส,3,8851932471534
เคลียร์โนส กันแดด บูสเตอร์ 7มล.,49,0,ผงชูรส,5,8858977423221
บีโคโค่ แตงโมเซรั่ม 50มล.,35,27,ผงชูรส,6,8859224600273
นัมจู อันเดอร์อาร์ม ไบร์ทครีม 7กรัม,59,49,ผงชูรส,6,8859510304472
